"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/01/2015","Amazon","AMAZON SERVICES-KIND866-321-885M8KZ8WFQXB8 DIGITAL 320150010406290131","8.49","debit","Shopping","Gold Card","",""
"1/01/2015","Rackspace Cloud Cloud","RACKSPACE CLOUD     210-312-4004348691     CLOUD HOSTIN 320150010405093348","65.93","debit","Web Hosting","Gold Card","",""
"12/31/2014","Wegman's","WEGMANS #066 00000005854644600249183304855854644600 320143650381850400","17.78","debit","Groceries","Gold Card","",""
"12/31/2014","Amazon","AMAZON SERVICES-KIND866-321-885HORJDVN2P9Z DIGITAL 320143650380768778","6.38","debit","Shopping","Gold Card","",""
"12/30/2014","Mcaa Parking Rochester","MCAA PARKING - 5400-ROCHESTER00000000000 585-292-4900 320143640367116575","37.50","debit","Parking","Gold Card","",""
"12/30/2014","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIBY04U2EL88Q BOOK STORES 320143640362142659","97.17","debit","Shopping","Gold Card","",""
"12/30/2014","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIBY0B17V4T7E BOOK STORES 320143640366305273","111.06","debit","Shopping","Gold Card","",""
"12/30/2014","Wegman's","WEGMANS #03 000000005854644600249203420295854644600 320143640365742294","19.75","debit","Groceries","Gold Card","",""
"12/30/2014","Transfer to Gold Card","Withdrawal-ACH-A-AMEX EPAYMENT AMEX EPayment (ACH PMT)","8229.06","debit","Credit Card Payment","Premium Checking","",""
"12/30/2014","Gpo Haslemere Gb","Withdrawal @ GPO 0570 666 020 HASLEMERE GB Trace #436478010072","73.17","debit","Uncategorized","Premium Checking","",""
"12/29/2014","Transfer from Business Reg Check","AUTOPAY PAYMENT - THANK YOU 320143630360741013","8229.06","credit","Credit Card Payment","Gold Card","",""
"12/29/2014","Evernote","EVERNOTE.COM 0990   REDWOOD CIT4491890539  650-257-0885 320143630349289992","5.00","debit","Electronics & Software","Gold Card","",""
"12/26/2014","Time Warner","TIME WARNER CABLE   910-763-46396550031R3C CABLE 320143600315313655","76.46","debit","Television","Gold Card","",""
"12/26/2014","Google","GOOGLE *GOOGLE STORAGOOGLE.COM/A014803W    PYMT SERVICE 320143600313964782","9.99","debit","Advertising","Gold Card","",""
"12/26/2014","Roch Gas Elec","Withdrawal-ACH-A-ROCH GAS & ELEC ROCH GAS & ELEC (RG&E PAYMT)","153.24","debit","Utilities","Premium Checking","",""
"12/25/2014","Wegman's","WEGMANS COLUMBIA #475854644600249033275685854644600 320143590300700681","28.88","debit","Groceries","Gold Card","",""
"12/25/2014","Wegman's","WEGMANS COLUMBIA #475854644600249580997975854644600 320143590300055328","24.11","debit","Groceries","Gold Card","",""
"12/25/2014","Tobacco Etc Columbia - gift for briana","TOBACCO ETC 88290337COLUMBIA11          CIGAR STORE & STAND 320143590301065176","53.53","debit","Gift","Gold Card","",""
"12/25/2014","Giant Food","GIANT FOOD LLC #2301BURTONSVILL508548      GROCERY STORE 320143590309734585","22.49","debit","Groceries","Gold Card","",""
"12/25/2014","Wegman's","WEGMANS COLUMBIA #475854644600249053420005854644600 320143590300419323","208.30","debit","Groceries","Gold Card","",""
"12/23/2014","Cordellos Pizzeria Trace","Withdrawal @ CORDELLOS PIZZERIA WEBSTER NYUS Trace #435621987163","25.50","debit","Restaurants","Premium Checking","",""
"12/23/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144357 585-671-9420 320143570276002379","26.89","debit","Restaurants","Gold Card","",""
"12/23/2014","Github Github San","GITHUB GITHUB       SAN FRANCIS822V3Y2     4152910224 320143570259423069","7.00","debit","Web Hosting","Gold Card","",""
"12/22/2014","Betterment Webbetterment","Withdrawal-ACH-A-BETTERMENT WEBBETTERMENT (TRANSFER)","1000.00","debit","IRA Contribution","Premium Checking","",""
"12/22/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144355 585-671-9420 320143560252834316","24.73","debit","Restaurants","Gold Card","",""
"12/22/2014","Audible.com","AUDIBLE             888-283-505V6A1QE3C5VL DIRECT MKTG MISC 320143560240181494","229.50","credit","Books","Gold Card","",""
"12/22/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144355 585-671-9420 320143560253257177","9.67","debit","Restaurants","Gold Card","",""
"12/22/2014","Audible.com","AUDIBLE             888-283-505V6AUCBTKPVI AUDIO BOOKS 320143560240494005","229.50","debit","Books","Gold Card","",""
"12/21/2014","Wegman's","WEGMANS #03 000000005854644600249103160595854644600 320143550225527204","83.45","debit","Groceries","Gold Card","",""
"12/21/2014","Audible.com","AUDIBLE             888-283-505R71SYQZBXEA AUDIO BOOKS 320143550221866816","229.50","debit","Books","Gold Card","",""
"12/20/2014","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIMESYETTQZ49 BOOK STORES 320143540214656888","11.97","debit","Shopping","Gold Card","",""
"12/19/2014","Waterwatch Trace","Withdrawal @ WATERWATCH ROCHESTER NYUS Trace #435220130004","202.50","debit","Bills & Utilities","Premium Checking","",""
"12/19/2014","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIMES01EV7C0K BOOK STORES 320143530184257351","170.39","debit","Shopping","Gold Card","",""
"12/19/2014","Sprint PCS","SPRINT WIRELESS     800-639-61100751790825 WIRELESSSVCS 320143530192671162","239.95","debit","Mobile Phone","Gold Card","",""
"12/19/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144353 585-671-9420 320143530201370499","24.73","debit","Restaurants","Gold Card","",""
"12/19/2014","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIMESJB578V3S BOOK STORES 320143530194339871","20.37","debit","Shopping","Gold Card","",""
"12/18/2014","Amazon","AMAZON DIGITAL SVCS 866-216-107FFTWL0X31KJ DIGITAL 320143520179172538","9.99","debit","Shopping","Gold Card","",""
"12/17/2014","Wegman's","WEGMANS #03 000000005854644600249193333615854644600 320143510149556502","51.84","debit","Groceries","Gold Card","",""
"12/17/2014","Skrill Settl Verification","Deposit-ACH-A-21246 Skrill Inc. (SETTL) Verification","0.37","credit","Income","Premium Checking","",""
"12/16/2014","Freelancer Com Sydney","Freelancer.com      Sydney NSW569292:3873 569292:3873817 320143500129723977","102.60","debit","Freelance/Portfolio","Gold Card","",""
"12/16/2014","Freelancer Com Sydney","Freelancer.com      Sydney NSW569292:3873 569292:3873817 320143500129723961","0.67","debit","Freelance/Portfolio","Gold Card","",""
"12/16/2014","Wegman's","WEGMANS #03 000000005854644600249093367725854644600 320143500131027471","54.01","debit","Groceries","Gold Card","",""
"12/16/2014","Skr Usa Skrill","Withdrawal @ SKR*USA Skrill.com 800-238-9984 NYUS Trace #435027600126","329.28","debit","Uncategorized","Premium Checking","",""
"12/15/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144348 585-671-9420 320143490122410639","33.32","debit","Restaurants","Gold Card","",""
"12/15/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144349 585-671-9420 320143490124587849","31.43","debit","Restaurants","Gold Card","",""
"12/15/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144348 585-671-9420 320143490122845771","38.72","debit","Restaurants","Gold Card","",""
"12/13/2014","Gpo Haslemere Gb","Withdrawal @ GPO 0570 666 020 HASLEMERE GB Trace #434774010096","73.17","debit","Uncategorized","Premium Checking","",""
"12/12/2014","Salvatores Pizza","SALVATORES PIZZA    WEBSTER85349144346 585-671-9420 320143460072960177","24.73","debit","Restaurants","Gold Card","",""
"12/12/2014","Freelancer Com Sydney","Freelancer.com      Sydney NSW569292:3873 569292:3873817 320143460061537834","3.37","debit","Freelance/Portfolio","Gold Card","",""
"12/10/2014","Deposit Personal Union","Deposit @ Personal Credit Union Trace #3100133360 Transfer &quot;DTS&quot; 500.00 from account *****4611 share 3","500.00","credit","Transfer","Business Reg Shares","",""
